nome,ano,genero,generos_full,plataforma,plataformas_full,publisher,developer,nota,faixa_etaria,descricao,popularidade,playtime,tamanho_jogo,ratings_count,suggestions_count,engajamento_bruto,palavras_chave
DRIVECLUB,2014,Simulation,Simulation||Racing,PlayStation 4,PlayStation 4,Sony Interactive Entertainment,Evolution Studios,3.5,+10,DRIVECLUB é um jogo de Simulation lançado em 2014 para PlayStation 4. Ele possui nota média aproximada de 3.5/5 na base RAWG.,0.1462,1,curto,402,351,2476.0,driveclub simulation||racing playstation 4 sony interactive entertainment evolution studios
Cave Story+,2010,Action,Action||Adventure||Indie||Platformer,Linux,Linux||PC||macOS||Nintendo 3DS||Nintendo DS||Wii||Nintendo Switch,Nicalis,Nicalis,4.0,N/A,Cave Story+ é um jogo de Action lançado em 2010 para Linux. Ele possui nota média aproximada de 4.0/5 na base RAWG.,0.1461,2,curto,223,441,2473.5,cave story+ action||adventure||indie||platformer linux||pc||macos||nintendo 3ds||nintendo ds||wii||nintendo switch nicalis nicalis
Shadowrun: Hong Kong - Extended Edition,2015,Adventure,Adventure||RPG||Strategy||Indie,Linux,Linux||PC||macOS,Harebrained Holdings,Harebrained Schemes,3.7,N/A,Shadowrun: Hong Kong - Extended Edition é um jogo de Adventure lançado em 2015 para Linux. Ele possui nota média aproximada de 3.7/5 na base RAWG.,0.1461,5,curto,164,624,2473.5,shadowrun: hong kong - extended edition adventure||rpg||strategy||indie linux||pc||macos harebrained holdings harebrained schemes
Superbrothers: Sword & Sworcery,2011,Adventure,Adventure||RPG||Indie,Linux,Linux||PC||iOS||Android||macOS||Nintendo Switch,Capybara Games,Capybara Games,3.6,+13,Superbrothers: Sword & Sworcery é um jogo de Adventure lançado em 2011 para Linux. Ele possui nota média aproximada de 3.6/5 na base RAWG.,0.1461,1,curto,210,308,2474.0,superbrothers: sword & sworcery adventure||rpg||indie linux||pc||ios||android||macos||nintendo switch capybara games capybara games
Two Worlds Epic Edition,2009,RPG,RPG,Linux,Linux||PC||macOS,,Reality Pump Studios,2.8,N/A,Two Worlds Epic Edition é um jogo de RPG lançado em 2009 para Linux. Ele possui nota média aproximada de 2.8/5 na base RAWG.,0.146,4,curto,122,544,2473.0,two worlds epic edition rpg linux||pc||macos  reality pump studios
Antichamber,2013,Indie,Indie||Puzzle,PC,PC||Linux||macOS,Demruth,Alexander Bruce,4.0,N/A,Antichamber é um jogo de Indie lançado em 2013 para PC. Ele possui nota média aproximada de 4.0/5 na base RAWG.,0.146,3,curto,305,157,2471.5,antichamber indie||puzzle pc||linux||macos demruth alexander bruce
Halo 4,2012,Action,Action||Shooter,Xbox One,Xbox One||Xbox 360||PC,Microsoft Studios,343 Industries,3.8,+17,Halo 4 é um jogo de Action lançado em 2012 para Xbox One. Ele possui nota média aproximada de 3.8/5 na base RAWG.,0.146,75,longo,376,629,2471.5,halo 4 action||shooter xbox one||xbox 360||pc microsoft studios 343 industries
ORION: Prelude,2012,Action,Action||Adventure||RPG||Indie,PC,PC,Trek Industries,Trek Industries,2.2,N/A,ORION: Prelude é um jogo de Action lançado em 2012 para PC. Ele possui nota média aproximada de 2.2/5 na base RAWG.,0.1459,3,curto,144,649,2470.5,orion: prelude action||adventure||rpg||indie pc trek industries trek industries
Prince of Persia: The Two Thrones,2005,Action,Action||Adventure,PC,PC||Xbox||Wii||GameCube||PlayStation 2||Classic Macintosh||PSP||PlayStation 3,Ubisoft Entertainment,Ubisoft,4.1,+17,Prince of Persia: The Two Thrones é um jogo de Action lançado em 2005 para PC. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.1459,1,curto,411,654,2470.5,prince of persia: the two thrones action||adventure pc||xbox||wii||gamecube||playstation 2||classic macintosh||psp||playstation 3 ubisoft entertainment ubisoft
Demon's Souls,2009,Action,Action||RPG,PlayStation 3,PlayStation 3,Atlus,FromSoftware,4.2,+17,Demon's Souls é um jogo de Action lançado em 2009 para PlayStation 3. Ele possui nota média aproximada de 4.2/5 na base RAWG.,0.1458,38,longo,361,704,2469.0,demon's souls action||rpg playstation 3 atlus fromsoftware
Dead Space 3,2013,Action,Action||Shooter,PC,PC||PlayStation 3||Xbox 360||Xbox One,Electronic Arts,Electronic Arts,3.6,+17,Dead Space 3 é um jogo de Action lançado em 2013 para PC. Ele possui nota média aproximada de 3.6/5 na base RAWG.,0.1458,4,curto,457,508,2469.0,dead space 3 action||shooter pc||playstation 3||xbox 360||xbox one electronic arts electronic arts
Dota Underlords,2020,Strategy,Strategy||Board Games||Casual,Linux,Linux||macOS||PC||iOS||Android,Valve,Valve Software,3.2,N/A,Dota Underlords é um jogo de Strategy lançado em 2020 para Linux. Ele possui nota média aproximada de 3.2/5 na base RAWG.,0.1456,3,curto,453,52,2465.0,dota underlords strategy||board games||casual linux||macos||pc||ios||android valve valve software
Mirage: Arcane Warfare,2017,Action,Action||Indie,PC,PC,Torn Banner Studios,Torn Banner Studios,2.2,N/A,Mirage: Arcane Warfare é um jogo de Action lançado em 2017 para PC. Ele possui nota média aproximada de 2.2/5 na base RAWG.,0.1456,3,curto,137,596,2465.0,mirage: arcane warfare action||indie pc torn banner studios torn banner studios
Sanctum,2011,Action,Action||Shooter||Strategy||Casual||Indie,PC,PC||macOS,Coffee Stain Studios,Coffee Stain Studios,3.3,N/A,Sanctum é um jogo de Action lançado em 2011 para PC. Ele possui nota média aproximada de 3.3/5 na base RAWG.,0.1452,2,curto,145,623,2459.5,sanctum action||shooter||strategy||casual||indie pc||macos coffee stain studios coffee stain studios
Wasteland 2: Director's Cut,2015,Adventure,Adventure||RPG||Strategy||Indie,macOS,macOS||PC||Linux||Nintendo Switch||PlayStation 4||Xbox One,Deep Silver,InXile Entertainment,3.6,+18,Wasteland 2: Director's Cut é um jogo de Adventure lançado em 2015 para macOS. Ele possui nota média aproximada de 3.6/5 na base RAWG.,0.1451,6,medio,220,594,2456.5,wasteland 2: director's cut adventure||rpg||strategy||indie macos||pc||linux||nintendo switch||playstation 4||xbox one deep silver inxile entertainment
Tomb Raider: Definitive Edition,2014,Action,Action||Adventure,PlayStation 3,PlayStation 3||Xbox 360||macOS||PC||Xbox One||PlayStation 4,Square Enix,Feral Interactive,4.0,+17,Tomb Raider: Definitive Edition é um jogo de Action lançado em 2014 para PlayStation 3. Ele possui nota média aproximada de 4.0/5 na base RAWG.,0.145,0,curto,108,698,2455.0,tomb raider: definitive edition action||adventure playstation 3||xbox 360||macos||pc||xbox one||playstation 4 square enix feral interactive
Hand of Fate,2015,Action,Action||Adventure||RPG||Indie,macOS,macOS||Linux||PC||Xbox One||PlayStation 4,Defiant Development,Defiant Development,3.7,N/A,Hand of Fate é um jogo de Action lançado em 2015 para macOS. Ele possui nota média aproximada de 3.7/5 na base RAWG.,0.145,4,curto,249,537,2455.5,hand of fate action||adventure||rpg||indie macos||linux||pc||xbox one||playstation 4 defiant development defiant development
PAC-MAN CHAMPIONSHIP EDITION 2,2016,Arcade,Arcade||Casual,PC,PC||PlayStation 4||Xbox One||Nintendo Switch,Bandai Namco Entertainment,Bandai Namco Entertainment,3.4,N/A,PAC-MAN CHAMPIONSHIP EDITION 2 é um jogo de Arcade lançado em 2016 para PC. Ele possui nota média aproximada de 3.4/5 na base RAWG.,0.1448,1,curto,97,364,2452.0,pac-man championship edition 2 arcade||casual pc||playstation 4||xbox one||nintendo switch bandai namco entertainment bandai namco entertainment
World of Tanks,2010,Action,Action||Shooter||Massively Multiplayer,PC,PC||Xbox One||PlayStation 4||Xbox 360,Wargaming,Wargaming.net,2.9,+13,World of Tanks é um jogo de Action lançado em 2010 para PC. Ele possui nota média aproximada de 2.9/5 na base RAWG.,0.1446,12,medio,410,565,2448.0,world of tanks action||shooter||massively multiplayer pc||xbox one||playstation 4||xbox 360 wargaming wargaming.net
Pyre,2017,Adventure,Adventure||RPG||Sports||Arcade||Indie,macOS,macOS||PC||Linux||PlayStation 4,Supergiant Games,Supergiant Games,4.1,+10,Pyre é um jogo de Adventure lançado em 2017 para macOS. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.1445,4,curto,339,483,2447.5,pyre adventure||rpg||sports||arcade||indie macos||pc||linux||playstation 4 supergiant games supergiant games
Totally Accurate Battlegrounds,2018,Action,Action||Shooter||Indie,PC,PC,Landfall,Landfall,2.7,N/A,Totally Accurate Battlegrounds é um jogo de Action lançado em 2018 para PC. Ele possui nota média aproximada de 2.7/5 na base RAWG.,0.1445,1,curto,281,219,2447.5,totally accurate battlegrounds action||shooter||indie pc landfall landfall
Devil May Cry 4,2008,Action,Action||Adventure,PC,PC||PlayStation 4||PlayStation 3||Xbox One||Xbox 360,Capcom,Capcom,4.1,+17,Devil May Cry 4 é um jogo de Action lançado em 2008 para PC. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.1444,3,curto,383,679,2446.0,devil may cry 4 action||adventure pc||playstation 4||playstation 3||xbox one||xbox 360 capcom capcom
Tyranny,2016,RPG,RPG,macOS,macOS||Linux||PC,Paradox Interactive,Obsidian Entertainment,4.1,N/A,Tyranny é um jogo de RPG lançado em 2016 para macOS. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.1442,6,medio,298,521,2441.5,tyranny rpg macos||linux||pc paradox interactive obsidian entertainment
Dear Esther,2012,Adventure,Adventure||Casual||Indie,PC,PC||iOS||macOS,The Chinese Room,Sumo Digital,3.5,+13,Dear Esther é um jogo de Adventure lançado em 2012 para PC. Ele possui nota média aproximada de 3.5/5 na base RAWG.,0.1442,2,curto,249,307,2442.0,dear esther adventure||casual||indie pc||ios||macos the chinese room sumo digital
Assassin's Creed Freedom Cry,2014,Action,Action||Adventure,PlayStation 4,PlayStation 4||PlayStation 3||Nintendo Switch||PC||Xbox One||Xbox 360,Ubisoft Entertainment,Ubisoft,3.0,+18,Assassin's Creed Freedom Cry é um jogo de Action lançado em 2014 para PlayStation 4. Ele possui nota média aproximada de 3.0/5 na base RAWG.,0.1439,5,curto,343,697,2437.5,assassin's creed freedom cry action||adventure playstation 4||playstation 3||nintendo switch||pc||xbox one||xbox 360 ubisoft entertainment ubisoft
Ashes of the Singularity: Escalation,2016,RPG,RPG||Strategy||Simulation||Indie,PC,PC,Stardock Entertainment,Stardock Entertainment,2.4,N/A,Ashes of the Singularity: Escalation é um jogo de RPG lançado em 2016 para PC. Ele possui nota média aproximada de 2.4/5 na base RAWG.,0.1438,3,curto,29,528,2435.5,ashes of the singularity: escalation rpg||strategy||simulation||indie pc stardock entertainment stardock entertainment
Planetary Annihilation,2014,Strategy,Strategy,PC,PC||macOS||Linux,Uber Entertainment,Uber Entertainment,3.0,N/A,Planetary Annihilation é um jogo de Strategy lançado em 2014 para PC. Ele possui nota média aproximada de 3.0/5 na base RAWG.,0.1438,7,medio,131,469,2435.0,planetary annihilation strategy pc||macos||linux uber entertainment uber entertainment
Pixel Puzzles Ultimate,2016,Casual,Casual||Indie||Puzzle,PC,PC,Kiss,Decaying Logic,1.9,N/A,Pixel Puzzles Ultimate é um jogo de Casual lançado em 2016 para PC. Ele possui nota média aproximada de 1.9/5 na base RAWG.,0.1436,3,curto,94,494,2431.5,pixel puzzles ultimate casual||indie||puzzle pc kiss decaying logic
Headsnatchers,2018,Action,Action||Sports||Casual||Indie,PlayStation 4,PlayStation 4||Nintendo Switch||PC,Iceberg Interactive,IguanaBee,2.2,+10,Headsnatchers é um jogo de Action lançado em 2018 para PlayStation 4. Ele possui nota média aproximada de 2.2/5 na base RAWG.,0.1434,2,curto,57,261,2427.5,headsnatchers action||sports||casual||indie playstation 4||nintendo switch||pc iceberg interactive iguanabee
Thief 3: Deadly Shadows,2004,Action,Action||Simulation,PC,PC,Square Enix,Ion Storm,3.8,+13,Thief 3: Deadly Shadows é um jogo de Action lançado em 2004 para PC. Ele possui nota média aproximada de 3.8/5 na base RAWG.,0.1433,1,curto,157,468,2426.5,thief 3: deadly shadows action||simulation pc square enix ion storm
Mafia III: Definitive Edition,2020,Action,Action||Adventure,PlayStation 4,PlayStation 4||Xbox One||PC,2K Games,2K Czech,3.2,N/A,Mafia III: Definitive Edition é um jogo de Action lançado em 2020 para PlayStation 4. Ele possui nota média aproximada de 3.2/5 na base RAWG.,0.1433,0,curto,140,558,2427.0,mafia iii: definitive edition action||adventure playstation 4||xbox one||pc 2k games 2k czech
The Secret of Monkey Island: Special Edition,2009,Adventure,Adventure||Family,PC,PC||macOS||Xbox 360,Aspyr,Aspyr Media,4.2,+13,The Secret of Monkey Island: Special Edition é um jogo de Adventure lançado em 2009 para PC. Ele possui nota média aproximada de 4.2/5 na base RAWG.,0.1432,3,curto,239,531,2425.5,the secret of monkey island: special edition adventure||family pc||macos||xbox 360 aspyr aspyr media
Deadpool,2013,Action,Action||Adventure,PC,PC||Xbox One||Xbox 360||PlayStation 4||PlayStation 3,Activision Blizzard,Activision,3.8,+18,Deadpool é um jogo de Action lançado em 2013 para PC. Ele possui nota média aproximada de 3.8/5 na base RAWG.,0.1429,5,curto,334,674,2420.0,deadpool action||adventure pc||xbox one||xbox 360||playstation 4||playstation 3 activision blizzard activision
Resident Evil 3,2020,Action,Action||Shooter||Adventure,PC,PC||Xbox One||PlayStation 4,Capcom,Capcom,4.0,+17,Resident Evil 3 é um jogo de Action lançado em 2020 para PC. Ele possui nota média aproximada de 4.0/5 na base RAWG.,0.1426,8,medio,236,470,2414.5,resident evil 3 action||shooter||adventure pc||xbox one||playstation 4 capcom capcom
Medieval II: Total War,2007,Strategy,Strategy||Simulation,Linux,Linux||macOS||PC,SEGA,Feral Interactive,4.0,+17,Medieval II: Total War é um jogo de Strategy lançado em 2007 para Linux. Ele possui nota média aproximada de 4.0/5 na base RAWG.,0.1426,4,curto,191,574,2414.0,medieval ii: total war strategy||simulation linux||macos||pc sega feral interactive
Skullgirls,2012,Action,Action||Adventure||RPG||Fighting||Indie,PC,PC||iOS||Xbox 360||Nintendo Switch||Linux||macOS||PS Vita||PlayStation 4||PlayStation 3||Xbox One,Marvelous,Lab Zero Games,3.8,N/A,Skullgirls é um jogo de Action lançado em 2012 para PC. Ele possui nota média aproximada de 3.8/5 na base RAWG.,0.1426,5,curto,213,419,2414.0,skullgirls action||adventure||rpg||fighting||indie pc||ios||xbox 360||nintendo switch||linux||macos||ps vita||playstation 4||playstation 3||xbox one marvelous lab zero games
Kingdom: New Lands,2015,Strategy,Strategy||Simulation||Arcade||Casual||Indie,iOS,iOS||Android||PC||macOS||Linux||PlayStation 4||Nintendo Switch||Xbox One,Raw Fury,Noio,3.8,N/A,Kingdom: New Lands é um jogo de Strategy lançado em 2015 para iOS. Ele possui nota média aproximada de 3.8/5 na base RAWG.,0.1426,4,curto,252,499,2415.0,kingdom: new lands strategy||simulation||arcade||casual||indie ios||android||pc||macos||linux||playstation 4||nintendo switch||xbox one raw fury noio
DuckTales: Remastered,2013,Adventure,Adventure||Platformer,PC,PC||Xbox One||Android||iOS||Wii U||Xbox 360||PlayStation 3,Capcom,WayForward Technologies,3.8,LIVRE,DuckTales: Remastered é um jogo de Adventure lançado em 2013 para PC. Ele possui nota média aproximada de 3.8/5 na base RAWG.,0.1421,3,curto,280,467,2407.0,ducktales: remastered adventure||platformer pc||xbox one||android||ios||wii u||xbox 360||playstation 3 capcom wayforward technologies
Resident Evil 0 / biohazard 0 HD REMASTER,2016,Action,Action||Adventure,PC,PC||PlayStation 4||GameCube||Nintendo Switch||PlayStation 3,Capcom,Capcom,3.9,+17,Resident Evil 0 / biohazard 0 HD REMASTER é um jogo de Action lançado em 2016 para PC. Ele possui nota média aproximada de 3.9/5 na base RAWG.,0.1421,5,curto,244,597,2406.0,resident evil 0 / biohazard 0 hd remaster action||adventure pc||playstation 4||gamecube||nintendo switch||playstation 3 capcom capcom
Dungeon of the Endless,2014,Adventure,Adventure||RPG||Strategy||Indie,Nintendo Switch,Nintendo Switch||PC||iOS||PlayStation 4||macOS||Xbox One,Playdigious,Amplitude Studios,3.7,+13,Dungeon of the Endless é um jogo de Adventure lançado em 2014 para Nintendo Switch. Ele possui nota média aproximada de 3.7/5 na base RAWG.,0.142,4,curto,199,438,2404.5,dungeon of the endless adventure||rpg||strategy||indie nintendo switch||pc||ios||playstation 4||macos||xbox one playdigious amplitude studios
Deiland,2016,Adventure,Adventure||RPG||Indie,Android,Android||macOS||PC||iOS||PlayStation 4,Chibig,Chibig,2.6,+10,Deiland é um jogo de Adventure lançado em 2016 para Android. Ele possui nota média aproximada de 2.6/5 na base RAWG.,0.142,1,curto,53,329,2404.5,deiland adventure||rpg||indie android||macos||pc||ios||playstation 4 chibig chibig
Eador. Masters of the Broken World,2013,Strategy,Strategy||Indie,PC,PC,Snowbird Games,Unicorn Games Studio,2.7,+13,Eador. Masters of the Broken World é um jogo de Strategy lançado em 2013 para PC. Ele possui nota média aproximada de 2.7/5 na base RAWG.,0.142,4,curto,134,577,2404.0,eador. masters of the broken world strategy||indie pc snowbird games unicorn games studio
Resident Evil HD Remaster,2015,Action,Action||Adventure,Nintendo Switch,Nintendo Switch||Xbox 360||Xbox One||PlayStation 4||PC||PlayStation 3,Capcom,Capcom,4.3,N/A,Resident Evil HD Remaster é um jogo de Action lançado em 2015 para Nintendo Switch. Ele possui nota média aproximada de 4.3/5 na base RAWG.,0.142,4,curto,337,569,2404.5,resident evil hd remaster action||adventure nintendo switch||xbox 360||xbox one||playstation 4||pc||playstation 3 capcom capcom
King's Bounty: The Legend,2008,RPG,RPG||Strategy,PC,PC||macOS,1C-SoftClub,Katauri Interactive,4.1,+13,King's Bounty: The Legend é um jogo de RPG lançado em 2008 para PC. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.1419,3,curto,223,581,2403.0,king's bounty: the legend rpg||strategy pc||macos 1c-softclub katauri interactive
Everybody's Gone to the Rapture,2015,Adventure,Adventure||Casual||Indie,PC,PC||PlayStation 4,PlayStation Mobile,Sony Interactive Entertainment,3.4,+17,Everybody's Gone to the Rapture é um jogo de Adventure lançado em 2015 para PC. Ele possui nota média aproximada de 3.4/5 na base RAWG.,0.1419,2,curto,388,445,2403.5,everybody's gone to the rapture adventure||casual||indie pc||playstation 4 playstation mobile sony interactive entertainment
Trine 3: The Artifacts of Power,2015,Action,Action||Adventure||Indie,Linux,Linux||PC||macOS||PlayStation 4||Nintendo Switch,Frozenbyte,Frozenbyte,3.6,N/A,Trine 3: The Artifacts of Power é um jogo de Action lançado em 2015 para Linux. Ele possui nota média aproximada de 3.6/5 na base RAWG.,0.1417,5,curto,213,642,2400.0,trine 3: the artifacts of power action||adventure||indie linux||pc||macos||playstation 4||nintendo switch frozenbyte frozenbyte
Warcraft 3: Reign of Chaos,2002,RPG,RPG||Strategy,PC,PC||macOS,Blizzard Entertainment,,4.4,+13,Warcraft 3: Reign of Chaos é um jogo de RPG lançado em 2002 para PC. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.1414,0,curto,833,521,2394.5,warcraft 3: reign of chaos rpg||strategy pc||macos blizzard entertainment
My Friend Pedro,2019,Action,Action||Shooter||Arcade||Indie,PlayStation 4,PlayStation 4||Xbox One||PC||Nintendo Switch,Devolver Digital,DeadToast Entertainment,3.9,+17,My Friend Pedro é um jogo de Action lançado em 2019 para PlayStation 4. Ele possui nota média aproximada de 3.9/5 na base RAWG.,0.1413,2,curto,409,184,2392.0,my friend pedro action||shooter||arcade||indie playstation 4||xbox one||pc||nintendo switch devolver digital deadtoast entertainment
Trine 2,2011,Action,Action||Arcade||Platformer,PC,PC||Xbox 360||PlayStation 3,Atlus,Frozenbyte,3.9,+10,Trine 2 é um jogo de Action lançado em 2011 para PC. Ele possui nota média aproximada de 3.9/5 na base RAWG.,0.1408,3,curto,212,592,2384.0,trine 2 action||arcade||platformer pc||xbox 360||playstation 3 atlus frozenbyte
Sacred 2 Gold,2009,Action,Action||RPG,PC,PC,Deep Silver,ASCARON Entertainment,3.2,N/A,Sacred 2 Gold é um jogo de Action lançado em 2009 para PC. Ele possui nota média aproximada de 3.2/5 na base RAWG.,0.1405,1,curto,140,669,2380.0,sacred 2 gold action||rpg pc deep silver ascaron entertainment
Geneshift,2017,Action,Action||RPG||Indie,Linux,Linux||PC,Nik Nak Studios,Nik Nak Studios,2.2,N/A,Geneshift é um jogo de Action lançado em 2017 para Linux. Ele possui nota média aproximada de 2.2/5 na base RAWG.,0.1404,3,curto,139,380,2377.0,geneshift action||rpg||indie linux||pc nik nak studios nik nak studios
Crysis Warhead,2008,Action,Action||Shooter,PC,PC,Electronic Arts,Crytek,3.8,+18,Crysis Warhead é um jogo de Action lançado em 2008 para PC. Ele possui nota média aproximada de 3.8/5 na base RAWG.,0.1404,2,curto,265,583,2377.5,crysis warhead action||shooter pc electronic arts crytek
Homefront: The Revolution,2016,Action,Action||Shooter||Adventure,PC,PC||Xbox One||PlayStation 4,Deep Silver,Deep Silver,3.0,N/A,Homefront: The Revolution é um jogo de Action lançado em 2016 para PC. Ele possui nota média aproximada de 3.0/5 na base RAWG.,0.1404,9,medio,234,1056,2377.0,homefront: the revolution action||shooter||adventure pc||xbox one||playstation 4 deep silver deep silver
Assassin's Creed: Director's Cut Edition,2008,Action,Action||Adventure,PC,PC,Ubisoft Entertainment,Ubisoft Montreal,3.9,N/A,Assassin's Creed: Director's Cut Edition é um jogo de Action lançado em 2008 para PC. Ele possui nota média aproximada de 3.9/5 na base RAWG.,0.1403,5,curto,254,633,2376.0,assassin's creed: director's cut edition action||adventure pc ubisoft entertainment ubisoft montreal
Crysis 3,2013,Action,Action||Shooter||Adventure||Strategy,PC,PC||PlayStation 3||Xbox 360,Electronic Arts,Electronic Arts,3.6,N/A,Crysis 3 é um jogo de Action lançado em 2013 para PC. Ele possui nota média aproximada de 3.6/5 na base RAWG.,0.1403,2,curto,390,598,2376.5,crysis 3 action||shooter||adventure||strategy pc||playstation 3||xbox 360 electronic arts electronic arts
FIFA 17,2016,Sports,Sports,PlayStation 4,PlayStation 4||Xbox One||PlayStation 3||Xbox 360||PC,Electronic Arts,Electronic Arts,3.3,LIVRE,FIFA 17 é um jogo de Sports lançado em 2016 para PlayStation 4. Ele possui nota média aproximada de 3.3/5 na base RAWG.,0.14,0,curto,385,421,2370.5,fifa 17 sports playstation 4||xbox one||playstation 3||xbox 360||pc electronic arts electronic arts
RAGE 2,2019,Action,Action||Shooter||Adventure||RPG,Xbox One,Xbox One||PC||PlayStation 4,Bethesda Softworks,id Software,3.2,+17,RAGE 2 é um jogo de Action lançado em 2019 para Xbox One. Ele possui nota média aproximada de 3.2/5 na base RAWG.,0.1398,10,medio,432,557,2368.0,rage 2 action||shooter||adventure||rpg xbox one||pc||playstation 4 bethesda softworks id software
Hero Siege,2013,Action,Action||Adventure||RPG||Massively Multiplayer||Indie,PC,PC||Linux||macOS,Panic Art Studios,Elias Viglione,3.4,N/A,Hero Siege é um jogo de Action lançado em 2013 para PC. Ele possui nota média aproximada de 3.4/5 na base RAWG.,0.1396,4,curto,194,451,2363.5,hero siege action||adventure||rpg||massively multiplayer||indie pc||linux||macos panic art studios elias viglione
Poker Night at the Inventory,2010,Sports,Sports||Casual||Card,PC,PC||macOS,Telltale Games,Telltale Games,3.4,N/A,Poker Night at the Inventory é um jogo de Sports lançado em 2010 para PC. Ele possui nota média aproximada de 3.4/5 na base RAWG.,0.1392,3,curto,196,175,2357.0,poker night at the inventory sports||casual||card pc||macos telltale games telltale games
Sherlock Holmes: The Devil's Daughter,2016,Action,Action||Adventure,PC,PC||PlayStation 4||Xbox One,Plug In Digital,Frogwares,3.7,+13,Sherlock Holmes: The Devil's Daughter é um jogo de Action lançado em 2016 para PC. Ele possui nota média aproximada de 3.7/5 na base RAWG.,0.1391,7,medio,199,601,2355.5,sherlock holmes: the devil's daughter action||adventure pc||playstation 4||xbox one plug in digital frogwares
Little Inferno,2012,Adventure,Adventure||Simulation||Casual||Indie||Puzzle,PC,PC||iOS||Android||macOS||Linux||Wii U||Nintendo Switch,Tomorrow,Experimental Gameplay Group,3.8,N/A,Little Inferno é um jogo de Adventure lançado em 2012 para PC. Ele possui nota média aproximada de 3.8/5 na base RAWG.,0.139,3,curto,239,364,2354.0,little inferno adventure||simulation||casual||indie||puzzle pc||ios||android||macos||linux||wii u||nintendo switch tomorrow experimental gameplay group
AdVenture Capitalist,2015,Simulation,Simulation||Board Games||Casual||Indie,Linux,Linux||iOS||Android||PC||macOS||PlayStation 4,Hyper Hippo Games,Kongregate,2.8,N/A,AdVenture Capitalist é um jogo de Simulation lançado em 2015 para Linux. Ele possui nota média aproximada de 2.8/5 na base RAWG.,0.1389,6,medio,333,173,2352.0,adventure capitalist simulation||board games||casual||indie linux||ios||android||pc||macos||playstation 4 hyper hippo games kongregate
Mini Ninjas,2009,Action,Action||Adventure||Family,PC,PC||Xbox 360||Wii||PlayStation 3||Nintendo DS||macOS,Square Enix,Feral Interactive,3.4,+10,Mini Ninjas é um jogo de Action lançado em 2009 para PC. Ele possui nota média aproximada de 3.4/5 na base RAWG.,0.1384,1,curto,139,483,2343.5,mini ninjas action||adventure||family pc||xbox 360||wii||playstation 3||nintendo ds||macos square enix feral interactive
Serious Sam Classics: Revolution,2014,Action,Action||Indie,PC,PC,Devolver Digital,Croteam,3.5,N/A,Serious Sam Classics: Revolution é um jogo de Action lançado em 2014 para PC. Ele possui nota média aproximada de 3.5/5 na base RAWG.,0.1384,1,curto,136,558,2343.5,serious sam classics: revolution action||indie pc devolver digital croteam
POSTAL,1997,Action,Action||Indie,Linux,Linux||PC||macOS,Running With Scissors,Running With Scissors,3.0,+18,POSTAL é um jogo de Action lançado em 1997 para Linux. Ele possui nota média aproximada de 3.0/5 na base RAWG.,0.1382,2,curto,126,566,2340.5,postal action||indie linux||pc||macos running with scissors running with scissors
RaceRoom Racing Experience,2013,Simulation,Simulation||Sports||Racing,PC,PC,Sector3 Studios,Sector3 Studios,2.3,N/A,RaceRoom Racing Experience é um jogo de Simulation lançado em 2013 para PC. Ele possui nota média aproximada de 2.3/5 na base RAWG.,0.1382,1,curto,99,310,2340.0,raceroom racing experience simulation||sports||racing pc sector3 studios sector3 studios
Persona 4 Golden,2012,RPG,RPG,PC,PC||PS Vita,SEGA,Atlus,4.4,+17,Persona 4 Golden é um jogo de RPG lançado em 2012 para PC. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.1381,6,medio,350,450,2338.0,persona 4 golden rpg pc||ps vita sega atlus
A Hat in Time,2017,Action,Action||Indie||Platformer,macOS,macOS||PC||Xbox One||PlayStation 4||PlayStation 3||Nintendo Switch,Humble Bundle,Humble Bundle,4.3,N/A,A Hat in Time é um jogo de Action lançado em 2017 para macOS. Ele possui nota média aproximada de 4.3/5 na base RAWG.,0.1379,6,medio,332,407,2334.5,a hat in time action||indie||platformer macos||pc||xbox one||playstation 4||playstation 3||nintendo switch humble bundle humble bundle
Chaos on Deponia,2012,Adventure,Adventure||RPG||Indie,Linux,Linux||macOS||PC||iOS||Xbox One||PlayStation 4,Daedalic Entertainment,Daedalic Entertainment,4.1,+13,Chaos on Deponia é um jogo de Adventure lançado em 2012 para Linux. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.1375,5,curto,210,503,2328.0,chaos on deponia adventure||rpg||indie linux||macos||pc||ios||xbox one||playstation 4 daedalic entertainment daedalic entertainment
Owlboy,2016,Action,Action||Adventure||Indie||Platformer,PlayStation 4,PlayStation 4||Nintendo Switch||Linux||PC||Xbox One,D-Pad Studio,D-Pad Studio,3.8,N/A,Owlboy é um jogo de Action lançado em 2016 para PlayStation 4. Ele possui nota média aproximada de 3.8/5 na base RAWG.,0.1371,4,curto,245,549,2321.5,owlboy action||adventure||indie||platformer playstation 4||nintendo switch||linux||pc||xbox one d-pad studio d-pad studio
